,input,filtered,denoised,merged,tabled,nonchim
SRR11620710,20222,18895,18851,18851,18851,18851
SRR11620711,23045,22351,22341,22341,22341,22257
SRR11620712,3510,3389,3222,3222,3222,3222
SRR11620714,31124,30144,30072,30072,30072,29708
SRR11620715,17417,16363,16341,16341,16341,16269
SRR11620719,16445,15928,15859,15859,15859,15859
SRR11620720,6011,5742,5555,5555,5555,5480
SRR11620721,12648,12239,12161,12161,12161,12161
SRR11620733,6021,5864,5825,5825,5825,5825
SRR11620734,6506,6351,6340,6340,6340,6340
